date,temperature_C,precipitation_mmd,pet_mmd,streamflow_mmd,aet_mm,SM_%
1992-06-15,16.8195752412995,0.02,2.42189966579484,0.11,3.57009450033788,0.117305523341676
1992-06-16,14.1036358491585,0.0,3.3384435598098,0.11,2.1253414091564,0.114661684829076
1992-06-17,13.0494599566572,0.0,3.80507669683981,0.11,2.7175344767109,0.109924504484897
1992-06-18,12.596485139407,0.0,2.46766955781763,0.11,3.292887513676,0.105517592923656
1992-06-19,12.7276499171355,0.0,3.3297439297,0.11,1.799603605703,0.103494016509397
1992-06-20,15.0984151326631,0.0,3.95520144173709,0.12,2.26640297520545,0.101628386214187
1992-06-21,14.9829271304902,0.0,3.93090480677109,0.11,3.04121382294163,0.0980768199978236
1992-06-22,15.6141896480923,0.0,2.43136752235313,0.11,2.99316364670953,0.0950615760100735
1992-06-23,15.2401853900971,0.0,1.72997918824349,0.1,1.85593602157408,0.0947574610972065
1992-06-24,15.6475062141159,0.0,2.6852664620042,0.11,1.57091692090034,0.0952373933185132
1992-06-25,16.6595199728209,0.0,4.02824541279281,0.1,2.2081233561039,0.0930689446111275
1992-06-26,17.310005978959,0.0,3.64006577514846,0.1,3.1725476465879,0.0905824148491302
1992-06-27,18.8059720485889,0.0,3.12685142010032,0.11,2.94949712772523,0.0882759836460584
1992-06-28,19.9369600927615,0.0,4.02391221676952,0.11,2.45154435716329,0.0873029396676357
1992-06-29,19.5339738074317,0.33,4.25160411923997,0.1,2.78156605218687,0.0876816297977521
1992-06-30,17.9356193571546,11.85,3.01795479566612,0.11,2.87894256893666,0.0889618791487245
1992-07-01,14.5882557687148,12.83,1.00443685927922,0.2,2.28507711041358,0.16868058202621
1992-07-02,12.758965969075,1.61,2.8639444508071,0.13,1.57336605292174,0.149096006342593
1992-07-03,13.3924951002736,20.58,0.834833467360409,0.25,2.30193198207886,0.173911415113405
1992-07-04,13.8863863215766,9.84,1.37952074439151,0.29,1.33416369076698,0.185490021297433
1992-07-05,15.2772536532202,0.02,3.74760517545459,0.21,2.12547693762087,0.162527448816205
1992-07-06,15.426858076185,0.0,4.22187465345281,0.17,3.37025832024313,0.144452242448738
1992-07-07,14.9325215559341,0.08,1.44798843356367,0.15,4.08422070885858,0.136300265829279
1992-07-08,16.524537645723,0.02,1.18882741119659,0.14,1.26594129589296,0.132285923484695
1992-07-09,16.32217205461,10.39,1.3802697240904,0.23,1.06421484341544,0.146061893139739
1992-07-10,14.6610328775776,0.0,2.10411939334146,0.2,1.66359668176982,0.156386214186889
1992-07-11,14.3583154341596,20.9,1.37100977382561,0.18,2.27207863523114,0.155025802540146
1992-07-12,15.8148698314356,0.19,3.28545774510454,0.25,1.5757083652481,0.153801803286334
1992-07-13,15.8492247518343,0.95,1.29008225882828,0.17,3.22706979368964,0.147607225581793
1992-07-14,16.1378130540804,0.0,3.8107954132611,0.15,1.09878094686616,0.140966925241345
