gridcode,Lp,Lp_lower_CI,Lp_higer_CI,gamma,gamma_low,gamma_high,R2
1129,0.2314564388247612,0.2294363104142018,0.23349435395263568,1.3852031687388737,1.3541531375722506,1.4162531999054968,0.7007722612965231
113,0.27909787638455036,0.2753612389186116,0.28288521982351095,2.9309403279070687,2.715519994113811,3.1463606617003266,0.6277122436751992
1130,0.28439605484223607,0.2806797290088928,0.2881615865008391,0.6381148268852355,0.5886549628593346,0.6875746909111363,0.5780260381129452
1131,0.28912960366848234,0.2868820507083764,0.2913947648905761,1.8535654884884283,1.802245217736231,1.9048857592406256,0.6110970063517331
1132,0.30532912573814625,0.3025756580311206,0.308107650267201,1.479089296673817,1.4343943767260505,1.5237842166215834,0.597752251489291
1133,0.3093184335291775,0.3061802080803918,0.3124888245416002,1.474257756569961,1.4241831179038875,1.5243323952360346,0.5520590077439623
1134,0.3248072895057685,0.3161741934885325,0.3336761111083867,0.5000000000000001,0.5,0.5629322338068733,0.40100410980605516
1135,0.3006221986249565,0.2969851287588942,0.3043038103752064,0.7940523751812565,0.7160850676839258,0.8720196826785872,0.37057204623761186
1136,0.23181147959507162,0.2301996207696903,0.2334346246635157,1.6640807127684971,1.6375349426269858,1.6906264829100084,0.7257974238746405
1137,0.327345181961331,0.318372773298427,0.3365704518107621,0.5000000000000001,0.5,0.5751813201693344,0.5431992578622413
1138,0.33757151623517956,0.3294603019420457,0.3458824262030923,0.5000000000000001,0.5,0.5698736886157746,0.5648441017814707
1139,0.29537932524415605,0.29208128888084794,0.29871460139059225,1.0471124325079826,0.9605827992147506,1.1336420658012145,0.3947814303000896
114,0.37043726796925075,0.33041920632803834,0.41530203714697955,0.5000000000000001,0.5,0.6993453084567312,0.7354413544965146
1140,0.20000000000000007,0.2,0.20338076439568775,1.1220996104052496,1.0928723845141612,1.151326836296338,0.7026842080298827
1141,0.2712553031772089,0.2697862338619062,0.27273237202837475,2.202978854866753,2.1748800902980783,2.2310776194354274,0.7709494729174626
1142,0.24468928697280173,0.24229649602912182,0.2471057078434265,0.9914340168428705,0.9693319824519137,1.0135360512338272,0.709880640568014
1143,0.2550652445945698,0.25373208013936077,0.2564054137906207,2.6157339167107634,2.5801704990169796,2.651297334404547,0.7648210671193201
1144,0.25460567505088194,0.2532554544063222,0.25596309433917186,2.5928745945260903,2.557901889483604,2.6278472995685767,0.6803016537626188
1145,0.20000000000000007,0.2,0.2025340535934342,2.0274996711460935,1.9752292495430415,2.0797700927491456,0.4935064828692226
1146,0.22656756469767894,0.22526794741689374,0.22787467973877973,3.761816216119396,3.6968326508638647,3.8267997813749277,0.5341483863790386
